#authorList	title	journal	year	volume	pages	pmid	inhouse	hpo	monarch	topic.list
Robinson PN, Köhler S, Bauer S, Seelow D, Horn D, Mundlos S	The Human Phenotype Ontology: a tool for annotating and analyzing human hereditary disease	Am J Hum Genet	2008	83(5)	610-5	18950739	T	T	F	resource
Türkmen S, Guo G, Garshasbi M, Hoffmann K, Alshalah AJ, Mischung C, Kuss A, Humphrey N, Mundlos S, Robinson PN	CA8 mutations cause a novel syndrome characterized by ataxia and mild mental retardation with predisposition to quadrupedal gait	PLoS Genet	2009	5(5)	e1000487	19461874	T	T	F	clinical.use
Baudot A, Gómez-López G, Valencia A	Translational disease interpretation with molecular networks	Genome Biol	2009	10(6)	221	19591646	F	T	F	systems.bio.algorithm
Hancock JM, Mallon AM, Beck T, Gkoutos GV, Mungall C, Schofield PN	Mouse, man, and meaning: bridging the semantics of mouse phenotype and human disease	Mamm Genome	2009	20(8)	457-61	19649761	F	T	F	review
Tiffin N, Andrade-Navarro MA, Perez-Iratxeta C	Linking genes to diseases: it's all in the data	Genome Med	2009	1(8)	77	19678910	F	T	F	review
Sadreyev RI, Feramisco JD, Tsao H, Grishin NV	Phenotypic categorization of genetic skin diseases reveals new relations between phenotypes, genes and pathways	Bioinformatics	2009	25(22)	2891-6	19744994	F	T	F	review
Baker CJ, Rebholz-Schuhmann D	Between proteins and phenotypes: annotation and interpretation of mutations	BMC Bioinformatics	2009	10 Suppl 8	I1	19758463	F	T	F	review
Herrmann C, Bérard S, Tichit L	SimCT: a generic tool to visualize ontology-based relationships for biological objects	Bioinformatics	2009	25(23)	3197-8	19776214	F	T	F	systems.bio.algorithm
Köhler S, Schulz MH, Krawitz P, Bauer S, Dölken S, Ott CE, Mundlos C, Horn D, Mundlos S, Robinson PN	Clinical diagnostics in human genetics with semantic similarity searches in ontologies	Am J Hum Genet	2009	85(4)	457-64	19800049	T	T	F	phenogeno.algorithm
Washington NL, Haendel MA, Mungall CJ, Ashburner M, Westerfield M, Lewis SE	Linking human diseases to animal models using ontology-based phenotype annotation	PLoS Biol	2009	7(11)	e1000247	19956802	T	F	T	phenogeno.algorithm
Gkoutos GV, Mungall C, Dolken S, Ashburner M, Lewis S, Hancock J, Schofield P, Kohler S, Robinson PN	Entity/quality-based logical definitions for the human skeletal phenome using PATO	Conf Proc IEEE Eng Med Biol Soc	2009	2009	7069-72	19964203	T	T	T	phenogeno.algorithm
Oti M, Huynen MA, Brunner HG	The biological coherence of human phenome databases	Am J Hum Genet	2009	85(6)	801-8	20004759	F	T	F	review
Smith CL, Eppig JT	The mammalian phenotype ontology: enabling robust annotation and comparative analysis	Wiley Interdiscip Rev Syst Biol Med	2009	1(3)	390-399	20052305	F	T	F	resource
Mungall CJ, Gkoutos GV, Smith CL, Haendel MA, Lewis SE, Ashburner M	Integrating phenotype ontologies across multiple species	Genome Biol	2010	11(1)	R2	20064205	T	T	T	cross.species
Mottaz A, David FP, Veuthey AL, Yip YL	Easy retrieval of single amino-acid polymorphisms and phenotype information using SwissVar	Bioinformatics	2010	26(6)	851-2	20106818	F	T	F	resource
Gruenberger M, Alberts R, Smedley D, Swertz M, Schofield P; CASIMIR consortium, Schughart K	Towards the integration of mouse databases - definition and implementation of solutions to two use-cases in mouse functional genomics	BMC Res Notes	2010	3	16	20205870	F	T	F	resource;cross.species
Schofield PN, Gkoutos GV, Gruenberger M, Sundberg JP, Hancock JM	Phenotype ontologies for mouse and man: bridging the semantic gap	Dis Model Mech	2010	3(5-6)	281-9	20427557	F	T	F	resource;cross.species
Sardana D, Vasa S, Vepachedu N, Chen J, Gudivada RC, Aronow BJ, Jegga AG	PhenoHM: human-mouse comparative phenome-genome server	Nucleic Acids Res	2010	38(Web Server issue)	W165-74	20507906	F	T	F	resource;cross.species
Wächter T, Schroeder M	Semi-automated ontology generation within OBO-Edit	Bioinformatics	2010	26(12)	i88-96	20529942	F	T	F	resource
Hoehndorf R, Ngonga Ngomo AC, Kelso J	Applying the functional abnormality ontology pattern to anatomical functions	J Biomed Semantics	2010	1(1)	4	20618982	F	T	F	resource
Sundberg JP, Schofield PN	Commentary: mouse genetic nomenclature	Standardization of strain, gene, and protein symbols	2010	47(6)	1100-4	20685919	F	T	F	resource;cross.species
Schlicker A, Lengauer T, Albrecht M	Improving disease gene prioritization using the semantic similarity of Gene Ontology terms	Bioinformatics	2010	26(18)	i561-7	20823322	F	T	F	systems.bio.algorithm
Hoehndorf R, Oellrich A, Rebholz-Schuhmann D	Interoperability between phenotype and anatomy ontologies	Bioinformatics	2010	26(24)	3112-8	20971987	F	T	F	resource
